iter	Logloss
0	0.6878544446
1	0.6829360403
2	0.6782893649
3	0.6733501657
4	0.6684767952
5	0.6639994401
6	0.6594142721
7	0.6548344287
8	0.6500815951
9	0.6457728299
10	0.641674346
11	0.6378080444
12	0.6340324697
13	0.6300621121
14	0.6267470277
15	0.6230083528
16	0.619437908
17	0.6156486854
18	0.6121299744
19	0.6084949582
20	0.6050662504
21	0.601568039
22	0.5985692572
23	0.5952067273
24	0.5919891137
25	0.5887584719
26	0.5855631441
27	0.58254956
28	0.5797302369
29	0.5770389344
30	0.5743515466
31	0.5711694621
32	0.5684593787
33	0.5660105966
34	0.5637521248
35	0.5612814515
36	0.5583327044
37	0.5558208654
38	0.5532075157
39	0.5507607594
40	0.5485378802
41	0.5461105979
42	0.5436188444
43	0.541482826
44	0.5390356828
45	0.5366345202
46	0.5344518319
47	0.5323537913
48	0.5303599702
49	0.5282767874
50	0.5260976948
51	0.5238496855
52	0.5217806086
53	0.519792273
54	0.5176168269
55	0.5157064867
56	0.5139268834
57	0.5121126686
58	0.5105210601
59	0.5087124626
60	0.5067472416
61	0.5051939805
62	0.5035761776
63	0.5019597023
64	0.5003726146
65	0.4988851932
66	0.4971767531
67	0.4955339118
68	0.4940672427
69	0.4924491155
70	0.4910479634
71	0.4894978181
72	0.48793908
73	0.4867321788
74	0.4855106568
75	0.4844315234
76	0.4829835089
77	0.481848939
78	0.4806186198
79	0.4792651848
80	0.4778951021
81	0.4766559948
82	0.4756361685
83	0.4744414329
84	0.4732565963
85	0.4720256864
86	0.4707487592
87	0.4698114717
88	0.4684530531
89	0.4672526518
90	0.466081136
91	0.4650775822
92	0.4641431099
93	0.4633828724
94	0.462289361
95	0.4609829533
96	0.4598140364
97	0.4588007104
98	0.4579454458
99	0.4569005219
100	0.456011461
101	0.4550114232
102	0.454033308
103	0.4530441103
104	0.4520024537
105	0.4510623553
106	0.4501000037
107	0.4492764872
108	0.4486191436
109	0.4476295446
110	0.4467537226
111	0.4459889358
112	0.4449138087
113	0.4442533092
114	0.4435044977
115	0.4426814847
116	0.4418952749
117	0.4411659459
118	0.4404019906
119	0.439847832
120	0.4391666853
121	0.4384696036
122	0.4377338607
123	0.4371198201
124	0.4364866839
125	0.435843976
126	0.4350303433
127	0.4344644663
128	0.4338184057
129	0.4330433717
